go идти
travel ехать
stand стоять
think думать
clap хлопать
whistle свистеть
scream кричать
cook готовить
write писать
persuade уговаривать
ask спрашивать, просить
respond отвечать
deny отказывать
raise поднимать
lower опускать
wash стирать
draw рисовать, чертить
put класть
throw out выбрасывать
throw бросать, кидать
repair ремонтировать
wear носить
twist крутить
learn учить
build строить
educate воспитывать
begin начинать
leave покидать
boil варить 
fry жарить
sing петь
dance танцевать
feed кормить
score забивать
swim плавать
crawl ползать
wash мыть
spoil портить
drip капать
treat лечить, удовольствие
strok гладить
bite кусать
eat есть
drink пить
Threaten угрожать
Leave оставить
find найти
win выиграть
lose проиграть
choose выбрать
take взять
give дать
praying молиться
apply ходатайствовать
beg умолять
look for искать
find находить
charge заряжать
show показывать
demand требовать
try пытаться
communicate общаться 
participate участвовать
I я
You ты, тебе
we мы
he он
she она
they они
my мой
your твой
our наш
their их
her её, ей
his его
to me мне
us нам
they им
him ему
fun весело
gladly радостно
sad грустно
scary страшно
quickly быстро
slowly медленно
loudly громко
quietly тихо
strongly сильно
weak слабо
cold холодно
hot горячо
beautifully красиво
rainbow радуга
high высоко
low низко
calmly спокойно
deeply глубоко
dinely мелко
violently буйно
kindly ласково
tenderly нежно 
roughly грубо
defiantly дерзко
relatively относительно
beautiful красивый
attractive привлекательный
scary страшный
terrible ужасный
large большой
huge огромный
small маленький
deep глубокий
shallow мелкий
large крупный
dark темный
color цветной
light светлый
Fast быстрый
slow медленный
soft мягкий
firm твердый
hard жесткий
wet мокрый
dry сухой
lightweight легкий
heavy тяжелый
rough грубый
tender нежный
affectionate ласковый
medium средний
upper верхний
bottom нижний
silver серебряный
mixed смешанный
paper бумажный
glass стеклянный
iron железный
leather кожаный
wooden деревянный
thick толстый
thin тонкий
slender стройный
personal личный
suitable подходящий
evening вечерний
morning утренний
daily дневной
highspeed скоростной
young молодой
children's детский
adult взрослый
honest честный
industrious трудолюбивый
main главный, основной
spare запасной
difficult трудный
wide широкий
narrow узкий
curly кудрявый
straight прямой
warm теплый
cold холодный
summer летний
winter зимний
autumn осенний
spring весенний
risky рискованный
surprised удивленный
Indemand востребованный
pleasant приятный
acute острый
stupid тупой
sweet сладкий
bitter горький
sour кислый
fresh свежий
fragrant ароматный
special особенный
steep крутой
ordinary обычный
round круглый
square квадратный
triangular треугольный
internal внутренний
external внешний
frequent частый
private частный
whole целый
partial частичный
separate отдельный
Joint совместный
in в
to к
without без
on на, об
above над
under под
about около
before перед, 
until до
of из
before до
for для, за
at у
from от
eleven 11
twelve 12
thirteen 13
fourteen четырнадцать
fifteen пятнадцать
sixteen шестнадцать
twenty двадцать
thirty тридцать
forty сорок
fifty пятьдесят
one hundred сто
thousand тысяча
people человек
mother мама
father папа
grandmother бабушка
grandfather дедушка
apartment квартира
village деревня
area площадь
proposal предложение
phrase фраза
square квадрат
rhombus ромб
cell клетка
polygon многоугольник
sun солнце
moon луна
snow снег
degrees град
summer лето
winter зима
spring весна
autumn осень
bush куст
grass трава
flower цветок
fetus плод
berry ягода
strawberries клубника
raspberry малина
pineapple ананас
watermelon арбуз
cucumber огурец
tomato помидор
pear груша
peach персик
nature природа
sea море
ocean океан
river река
puddle лужа
mountain гора
desert пустыня
travel путешествие
train поезд
plane самолет
boat лодка
trolleybus троллейбус
tram трамвай
bicycle велосипед
leave отпуск
luggage багаж
cargo груз
entrance вход
floor пол
ceiling потолок
lighting освещение
carpet ковер
teacher учитель
cleaner уборщик
builder строитель
cook повар
pupil ученик
factory завод
machine tool станок
shop магазин
juice сок
drink напиток
kitchen кухня
potatoes картофель
pork свинина
beef говядина
chicken курица
turkey индейка
goose гусь
bread хлеб
grain зерно
flour мука
oil масло
plate тарелка
spoon ложка
glass стакан
cup кружка
bottle бутылка
saucepan кастрюля
cooker плита
refrigerator холодильник
vase ваза
table стол
chair стул
bed кровать
chair кресло
sofa диван
cupboard шкаф
stroller коляска
basket корзина
bag cумка
choice выбор
condition условие
character характер
respect уважение
quality качество
resistance стойкость
fury ярость
joy радость
pride гордость
anger злость
exchange обмен
birth рождение
beauty красота
tranquility спокойствие
selfishness эгоизм
fear страх
Friendship дружба
sadness грусть
generation поколение
pleasure удовольствие
height высота
depth глубина
hole дыра
seam шов
fee гонорар
purchase покупка
letter письмо
newspaper газета
paper бумага
pen ручка
pencil карандаш
drawing рисунок
postman почтальон
leadership руководство
construction строительство
protection защита
fan поклонник
sing песня
study учеба
science наука
performance спектакль
competition конкурс
cloth ткань
dress платье
trousers брюки
coats пальто
socks носки
gloves перчатки
blanket одеяло
pillow подушка
animal животное
bird птица
elephant слон
frog лягушка
shark акула
dragonfly стрекоза
snail улитка
socket гнездо
burrow нора
bouquet букет
gift подарок
competition соревнование
loss проигрыш
homeland родина
glory слава
